lat,lon,Score,PVOUT_csi,GHI,DNI,ELE,GTI_opta,OPTA,TEMP,DIF
21.50666,39.56055,0.3464241317722042,1813.403076171875,2243.109375,1952.421875,680,2374.921875,22,28.25,870.6015625
26.5,48.45,0.35143198100136935,1775.5234375,2121.8671875,1836.5390625,216,2330.9375,29,26.9375,881.1796875
17.11788,42.66694,0.3025702167010733,1668.8182373046875,2081.1953125,1507.5078125,44,2174.90625,20,30.75,998.9140625
31.81808,38.84485,0.3796916752280358,1943.8341064453125,2186.9921875,2527.6796875,875,2476.8125,32,19.5,599.421875
22.16064,43.73364,0.3922832960900986,1932.6575927734373,2344.9921875,2207.0390625,1174,2543.828125,26,26.125,834.3125
26.58333,48.41667,0.3508677860935551,1776.58740234375,2119.734375,1835.3984375,231,2326.28125,29,26.9375,878.1875
28.60384,40.94541,0.3923007039735037,1954.8126220703125,2251.171875,2358.1953125,823,2531.734375,32,22.0,711.515625
26.27666,36.41978,0.358117410511254,1914.453369140625,2272.4765625,2392.8671875,-1,2468.0859375,25,26.375,693.1015625
23.79703,44.82601,0.38051978220383526,1896.5965576171875,2289.96875,2180.578125,974,2481.4296875,26,26.4375,817.1171875
18.21667,42.53333,0.35531333418644173,1913.6868896484373,2278.3515625,2223.1015625,2207,2414.28125,21,18.875,763.328125
29.26982,42.20947,0.3759381623083575,1887.80419921875,2186.3203125,2214.9375,536,2452.609375,31,24.125,747.265625
27.78391,35.13793,0.3694190057749212,1961.826904296875,2302.8984375,2635.484375,57,2529.984375,26,25.8125,592.921875
18.86127,41.18796,0.30686552481244844,1740.666015625,2144.78125,1637.0078125,0,2244.515625,19,29.8125,968.875
22.31891,44.80153,0.37927326030205755,1866.998046875,2305.8828125,2105.0390625,1107,2480.7734375,25,26.9375,852.59375
17.99341,43.36582,0.39022238508785345,2012.798583984375,2405.3984375,2510.828125,2247,2569.328125,23,18.625,706.5703125
17.98333,43.35,0.39041270038323095,2014.7979736328125,2404.8671875,2517.734375,2289,2570.75,23,18.375,703.4140625
26.35,39.28333,0.39463754416531927,1985.61474609375,2343.1875,2618.078125,1171,2576.984375,27,23.125,639.09375
27.52359,42.28034,0.37970056980428535,1902.7025146484373,2235.8359375,2281.3125,839,2473.7109375,29,24.125,740.0546875
27.5,41.93333,0.37890070972928386,1914.85986328125,2251.1796875,2332.5,974,2493.2265625,28,23.625,722.3046875
23.69993,39.76776,0.3810955991872127,1918.0128173828125,2327.0,2369.8515625,872,2521.171875,25,26.75,736.90625
